RECNUM	CODIGO_FORNEC	NRO_OBRIG	SERIE_OBRIG	CODIGO_MOEDA	DT_EMISSAO	DT_RECEB	DT_VCTO	DT_ULT_PGTO	VL_TOTAL	VL_PGTO	VL_JUROS	VL_DCTO	VL_DESP	CODIGO_GROBRIG	SUBSTITUIDA	GERA_MV_CTB	NRO_NFE	DT_REG	CODIGO_USUARIOD	ACEITE	DT_ACEITE	CODIGO_USUARIOA	INTEGRA_CTB	OBSERVACAO_1	OBSERVACAO_2	FLAG_SUBSTITUI	VALOR_SUBSTITUI	VALOR_SUBST_AUX	CODIGO_BANCO	NRO_LOTE	NRO_BANCO	CODIGO_BARRAS	DT_EFETIV_PGTO	DT_VCTO_AUX	VL_DCTO_BANCO	VL_ACRESC_BANCO	CONTACTB	CENTRO_CUSTO	FLAG_IMPORTA	SAFRA	NRO_NOTA_ORIG	SERIE_NOTA_ORIG	NRO_PAGAMENTO	FLAG_BAIXA	VL_BAIXA	VL_JUROS_BAIXA	VL_DCTO_BAIXA	CONTACTB_MIOLO	BANCO_OBRIG	DT_RECEB_BOLET	CONTA_ORCAMENT	STATUS	CODIGO_USUARIOL	CODIGO_USUARIOB	DT_LIBERACAO	DT_BLOQUEIO	CODIGO_PERFILCC	LOTE	CODIGO_DESPVAR	FORNEC_DARF	OBRIG_DARF	SERIE_DARF	CODIGO_TIPOPAG	CODIGO_FORMAPAG	CODIGO_REPRES	VL_MULTA	FLAG_CH_DEV	VL_MULTA_BAIXA	GUID
1937	179	53794,0	1  	1	06/09/2018	06/09/2018	06/09/2018	06/09/2018	220,22	220,22	0,0	0,0	0,0	123	N	S	0,0	17/08/2018	7	S	06/09/2018	0	S	Obrigação gerada a partir das obrigações: 81627-1E,81746-1E		 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	905	06/09/2018	0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1938	14	30836,0	1E 	1	09/08/2018	17/08/2018	06/09/2018	06/09/2018	1389,85	1389,85	0,0	0,0	0,0	108	N	 	30836,0	17/08/2018	7	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1939	14	30836,0	2E 	1	09/08/2018	17/08/2018	20/09/2018	20/09/2018	1212,0	1212,0	0,0	0,0	0,0	108	N	 	30836,0	17/08/2018	7	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1940	14	30836,0	3E 	1	09/08/2018	17/08/2018	04/10/2018	04/10/2018	1212,0	1212,0	0,0	0,0	0,0	108	N	 	30836,0	17/08/2018	7	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
1941	46	289644,0	1E 	1	10/08/2018	17/08/2018	06/09/2018	06/09/2018	372,17	372,17	0,0	0,0	0,0	108	N	 	289644,0	31/08/2018	7	N		0	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
981	72	327100,0	1  	1	18/04/2018	04/07/2018	16/05/2018	14/06/2018	3857,31	3857,31	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
982	72	327098,0	1  	1	18/04/2018	04/07/2018	16/05/2018	14/06/2018	1284,07	1284,07	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
983	68	996361,0	3  	1	21/02/2018	04/07/2018	16/05/2018	14/06/2018	1630,19	1630,19	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
984	68	996360,0	3  	1	21/02/2018	04/07/2018	16/05/2018	14/06/2018	1630,19	1630,19	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
985	68	1005312,0	2  	1	22/03/2018	04/07/2018	17/05/2018	14/06/2018	1927,33	1927,33	0,0	0,0	0,0	108	N	 	0,0	04/07/2018	8	S	04/07/2018	8	S			 	0,0	0,0	0	0					0,0	0,0	999999	0	 	          	0	   	0,0	 	0,0	0,0	0,0	0	0		0	L	0	0			0		0	0	0,0	   			0	0,0	 	0,0	
